Z;F;S
77;48;382
60;47;353
31;44;352
1;44;370
-28;51;393
-40;63;401
-53;69;375
-59;71;324
-51;69;261
-25;68;183
2;68;110
25;62;44
47;59;-15
56;51;-92
58;53;-211
56;46;-386
63;44;-778
54;43;-1153
37;31;-1383
13;25;-1307
-7;23;-927
-14;23;-541
-10;25;-213
-2;33;10
-8;41;165
-12;45;258
-17;53;312
-15;53;316
-4;64;298
7;62;260
24;62;221
17;56;193
3;46;183
-7;39;188
-10;37;208
-11;40;231
9;38;265
38;49;289
61;51;300
78;55;295
79;59;282
72;65;286
59;68;316
57;63;366
64;53;436
60;44;516
48;35;592
36;30;650
15;29;667
-6;19;637
-1;12;574
8;5;505
26;-1;450
38;-4;413
32;-9;399
33;-13;414
34;-16;448
41;-22;486
42;-14;449
30;-12;291
16;-3;-46
13;0;-457
6;-2;-878
-2;-5;-1178
-10;-6;-1324
-23;3;-1310
-31;7;-1105
-23;15;-770
-1;14;-345
19;19;42
17;22;315
7;23;465
-17;29;513
-32;25;478
-37;26;378
-31;21;250
-28;24;137
-21;15;57
-14;22;17
-14;31;0
-25;40;7
-28;45;26
-11;39;57
8;41;95
77;7;462
